doc_id,system,device,area,alarm_code,alarm_name,severity,tag,trigger,possible_causes,actions,reset_condition,source_doc,section_id,chunk_id,table_id,row_id,image_id
DOC-P203,高压给水泵系统,P203A/B 高压给水离心泵,动力站二层泵区,P203-A001,吸入口压力低,高,P203_SUCP,连续 10 s < 0.16 MPa,上游罐液位低或入口阀未全开；吸入过滤器堵塞导致压降增大；泵入口管线存在气袋或排气不充分；流量突增导致吸入侧压力瞬间下降,立即确认上游液位和入口阀开度；检查吸入过滤器差压，必要时切换备用过滤器；打开泵体排气点进行短时排气；若振动同步升高，降低负荷并准备切备用泵,吸入口压力稳定 > 0.22 MPa 且无汽蚀噪声 3 min,DOC-P203_pump_alarm_manual.docx,DOC-P203-SEC-04,DOC-P203-CH-001,DOC-P203-TALARM,DOC-P203-TALARM-R001,IMG-DOC-P203-SUCP
DOC-P203,高压给水泵系统,P203A/B 高压给水离心泵,动力站二层泵区,P203-A002,出口压力高,高,P203_DISP,连续 8 s > 1.85 MPa,下游调节阀或截止阀误关；出口止回阀卡滞造成压力波动；工艺侧需求降低但泵仍高频运行；压力变送器导压管堵塞造成假高值,核对出口阀、旁路阀和下游调节阀状态；逐步降低变频器频率，禁止骤停造成水锤；比对就地压力表和 DCS 压力值；确认误报警后填写仪表检查单,出口压力回落到 1.65 MPa 以下并保持稳定,DOC-P203_pump_alarm_manual.docx,DOC-P203-SEC-04,DOC-P203-CH-002,DOC-P203-TALARM,DOC-P203-TALARM-R002,IMG-DOC-P203-DISP
DOC-P203,高压给水泵系统,P203A/B 高压给水离心泵,动力站二层泵区,P203-A003,驱动端轴承温度高,中,P203_BT_DE,连续 60 s > 80 ℃,润滑脂过少或过量导致发热；轴承游隙异常或滚道损伤；联轴器对中不良引入附加载荷；环境温度高且通风不良,检查轴承箱外表温度与红外测温结果；查看近 8 小时温度趋势是否阶跃上升；降低泵负荷并安排现场听诊；若温度超过 90℃或伴随异响，立即切换备用泵,轴承温度 < 72℃ 且趋势不再上升,DOC-P203_pump_alarm_manual.docx,DOC-P203-SEC-04,DOC-P203-CH-003,DOC-P203-TALARM,DOC-P203-TALARM-R003,IMG-DOC-P203-BEARING
DOC-P203,高压给水泵系统,P203A/B 高压给水离心泵,动力站二层泵区,P203-A004,泵体振动高,高,P203_VIB,RMS 连续 30 s > 5.5 mm/s,吸入压力低引起汽蚀；叶轮积垢或局部损坏导致不平衡；地脚螺栓松动或基础刚度下降；联轴器不对中或轴承缺陷,先排除 P203-A001 是否同时存在；检查泵体、轴承箱和管线是否异常振动；采集频谱，区分 1X 不平衡与高频汽蚀；超过 7.1 mm/s 时切备用泵并申请检修,振动 RMS < 4.0 mm/s 且频谱无新增异常峰,DOC-P203_pump_alarm_manual.docx,DOC-P203-SEC-04,DOC-P203-CH-004,DOC-P203-TALARM,DOC-P203-TALARM-R004,IMG-DOC-P203-VIB
DOC-P203,高压给水泵系统,P203A/B 高压给水离心泵,动力站二层泵区,P203-A005,机械密封冲洗流量低,高,P203_SEAL_FL,连续 15 s < 2.5 L/min,冲洗管路节流孔堵塞；密封冲洗阀误关或开度不足；冲洗液过滤器堵塞；流量计脏污或卡涩,核对冲洗阀开度和流量计指示；打开备用冲洗支路进行比对；检查密封腔温度和泄漏量；禁止长时间带低冲洗运行，必要时停泵保护密封,冲洗流量 > 3.5 L/min 且密封腔温度正常,DOC-P203_pump_alarm_manual.docx,DOC-P203-SEC-04,DOC-P203-CH-005,DOC-P203-TALARM,DOC-P203-TALARM-R005,IMG-DOC-P203-SEAL
DOC-P203,高压给水泵系统,P203A/B 高压给水离心泵,动力站二层泵区,P203-A006,电机电流高,中,P203_MCUR,连续 20 s > 额定电流 110%,出口压力高导致轴功率增加；泵内有异物或转子摩擦；电机绕组温度升高导致负载能力下降；电流互感器量程配置错误,确认出口压力和流量是否超出工况点；检查是否有异常摩擦声；必要时降低频率至安全负荷；仪表可疑时比对 MCC 柜电流表,电流 < 额定电流 95% 并稳定 5 min,DOC-P203_pump_alarm_manual.docx,DOC-P203-SEC-04,DOC-P203-CH-006,DOC-P203-TALARM,DOC-P203-TALARM-R006,IMG-DOC-P203-MCUR
DOC-P203,高压给水泵系统,P203A/B 高压给水离心泵,动力站二层泵区,P203-A007,疑似汽蚀,高,P203_CAV,吸压低且振动高频成分上升,入口液位不足；入口管线局部堵塞；介质温度过高接近饱和；泵运行点偏离设计区间,降低泵流量或频率；提高入口液位或打开补液阀；确认入口过滤器差压；若噪声呈砂石声，应尽快切泵,吸入口压力恢复且汽蚀噪声明显消失,DOC-P203_pump_alarm_manual.docx,DOC-P203-SEC-04,DOC-P203-CH-007,DOC-P203-TALARM,DOC-P203-TALARM-R007,IMG-DOC-P203-CAV
DOC-P203,高压给水泵系统,P203A/B 高压给水离心泵,动力站二层泵区,P203-A008,润滑油压力低,高高,P203_LOP,连续 5 s < 0.08 MPa,润滑油泵故障；油位低或油路泄漏；油过滤器堵塞；压力开关接线松动,立即检查油位和油压表；启动备用油泵或切换备用泵；禁止在油压低状态下继续运行；通知维修检查油过滤器和油路,油压 > 0.12 MPa 且轴承温度无继续上升,DOC-P203_pump_alarm_manual.docx,DOC-P203-SEC-04,DOC-P203-CH-008,DOC-P203-TALARM,DOC-P203-TALARM-R008,IMG-DOC-P203-LOP
DOC-P203,高压给水泵系统,P203A/B 高压给水离心泵,动力站二层泵区,P203-A009,联轴器防护罩打开,低,P203_GUARD,防护罩限位开关断开,检修后防护罩未复位；限位开关松动；线缆接头进水；误碰防护罩导致瞬时报警,禁止靠近旋转部件；现场确认防护罩安装状态；复位限位开关并检查紧固；检修票关闭前不得强制屏蔽,防护罩复位且安全员确认,DOC-P203_pump_alarm_manual.docx,DOC-P203-SEC-04,DOC-P203-CH-009,DOC-P203-TALARM,DOC-P203-TALARM-R009,IMG-DOC-P203-GUARD
DOC-P203,高压给水泵系统,P203A/B 高压给水离心泵,动力站二层泵区,P203-A010,备用泵自启动失败,高,P203_STBY_FAIL,主泵跳停后备用泵 15 s 内未反馈运行,备用泵就地/远程开关不在远程；备用泵电气故障或 MCC 未合闸；出口阀联锁未满足；DCS 启动命令未下发或反馈丢失,立即人工确认备用泵状态；检查 MCC、远程模式和联锁条件；必要时按现场规程手动启动备用泵；记录自启动失败前后的事件顺序,备用泵远程启动试验成功,DOC-P203_pump_alarm_manual.docx,DOC-P203-SEC-04,DOC-P203-CH-010,DOC-P203-TALARM,DOC-P203-TALARM-R010,IMG-DOC-P203-STBY
